2026-03-07 12:00:27,341 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:27,341 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:27,424 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('1916.000'))
2026-03-07 12:00:27,424 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1916.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 12:00:27,506 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:27,507 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:27,621 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('53221.000')) | Best Ask: (Decimal('0.400'), Decimal('1489.000'))
2026-03-07 12:00:27,622 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1489.000')) | Best Ask: (Decimal('0.610'), Decimal('53221.000'))
2026-03-07 12:00:27,622 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('53221.000')) | Best Ask: (Decimal('0.400'), Decimal('1489.000'))
2026-03-07 12:00:27,623 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1489.000')) | Best Ask: (Decimal('0.610'), Decimal('53221.000'))
2026-03-07 12:00:27,666 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('53221.000')) | Best Ask: (Decimal('0.400'), Decimal('1469.000'))
2026-03-07 12:00:27,668 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1469.000')) | Best Ask: (Decimal('0.610'), Decimal('53221.000'))
2026-03-07 12:00:27,682 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:27,682 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:27,682 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:27,682 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:27,776 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('53221.000')) | Best Ask: (Decimal('0.400'), Decimal('1469.000'))
2026-03-07 12:00:27,776 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1469.000')) | Best Ask: (Decimal('0.610'), Decimal('53221.000'))
2026-03-07 12:00:28,525 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('1916.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1916.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.350'), Decimal('1914.000')) | Best Ask: (Decimal('0.360'), Decimal('550.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('550.000')) | Best Ask: (Decimal('0.650'), Decimal('1914.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('791.000')) | Best Ask: (Decimal('0.420'), Decimal('1916.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1916.000')) | Best Ask: (Decimal('0.590'), Decimal('791.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('791.000')) | Best Ask: (Decimal('0.420'), Decimal('1916.000'))
2026-03-07 12:00:28,537 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1916.000')) | Best Ask: (Decimal('0.590'), Decimal('791.000'))
